Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
1,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
2,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
3,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
4,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
5,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
6,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
7,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
8,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
9,,100,5,,,1,1,1,,1,1,1,1,,,,,1,2
10,,200,10,,,1,1,1,,1,1,1,1,,,,,1,2
11,,200,10,,,1,1,1,,1,1,1,1,,,,,1,2
12,,200,10,,,1,1,1,,1,1,1,1,,,,,1,2
13,,200,10,,,1,1,1,,1,1,1,1,,,,,1,2
14,,200,10,,,1,1,1,,1,1,1,1,,,,,1,2
