Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
1,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
2,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
3,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
4,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
5,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
6,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
7,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
8,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
9,,100,5,,,2,2,1,1,1,1,2,1,,,,1,,
10,,200,10,,,2,2,1,1,1,1,2,1,,,,1,,
11,,200,10,,,2,2,1,1,1,1,2,1,,,,1,,
12,,200,10,,,2,2,1,1,1,1,2,1,,,,1,,
13,,200,10,,,2,2,1,1,1,1,2,1,,,,1,,
14,,200,10,,,2,2,1,1,1,1,2,1,,,,1,,
