Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
1,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
2,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
3,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
4,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
5,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
6,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
7,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
8,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
9,,,,5,5,2,2,,2,1,1,,,2,2,2,1,,
10,,,,10,10,3,3,,3,2,2,,,3,3,3,2,,
11,,,,10,10,3,3,,3,2,2,,,3,3,3,2,,
12,,,,10,10,3,3,,3,2,2,,,3,3,3,2,,
13,,,,10,10,3,3,,3,2,2,,,3,3,3,2,,
14,,,,10,10,3,3,,3,2,2,,,3,3,3,2,,
