Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
1,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
2,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
3,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
4,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
5,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
6,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
7,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
8,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
9,1,,,5,5,2,2,,2,1,1,,,2,2,2,,,
10,2,,,10,10,3,3,,3,2,2,,,3,3,3,,,
11,2,,,10,10,3,3,,3,2,2,,,3,3,3,,,
12,2,,,10,10,3,3,,3,2,2,,,3,3,3,,,
13,2,,,10,10,3,3,,3,2,2,,,3,3,3,,,
14,2,,,10,10,3,3,,3,2,2,,,3,3,3,,,
