Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,200,15,7,7,,,,,,,,,,,,,,1
1,,200,15,7,7,,,,,,,,,,,,,,1
2,,200,15,7,7,,,,,,,,,,,,,,1
3,,200,15,7,7,,,,,,,,,,,,,,1
4,,200,15,7,7,,,3,,,,3,3,,,,,3,1
5,,400,25,10,10,,,,,,,,,,,,,,1
6,,400,25,10,10,,,,,,,,,,,,,,1
7,,400,25,10,10,,,,,,,,,,,,,,1
8,,400,25,10,10,,,,,,,,,,,,,,1
9,,400,25,10,10,,,3,,,,3,3,,,,,3,1
10,,800,50,15,15,,,,,,,,,,,,,,1
11,,800,50,15,15,,,,,,1,,,,,,,,1
12,,800,50,15,15,,,,,,,,,,,,,,1
13,,800,50,15,15,,,,,,,,,,,,,,1
14,,800,50,15,15,,,3,,,2,4,4,,,,,4,1
15,,1400,90,30,30,,,,,,,,,,,,,,2
16,,1400,90,30,30,,,,,,1,,,,,,,,2
17,,1400,90,30,30,,,,,,,,,,,,,,2
18,,1400,90,30,30,,,,,,,,,,,,,,2
19,,1400,90,30,30,,,3,,,2,3,3,,,,,3,2
20,,2000,160,40,40,,,,,,,,,,,,,,2
21,,2000,160,40,40,,,,,,1,,,,,,,,2
22,,2000,160,40,40,,,,,,,,,,,,,,2
23,,2000,160,40,40,,,,,,,,,,,,,,2
24,,2000,160,40,40,,,3,,,2,3,3,,,,,3,2
25,,3200,270,60,60,,,,,,,,,,,,,,3
26,,3200,270,60,60,,,,,,1,,,,,,,,3
27,,3200,270,60,60,,,,,,,,,,,,,,3
28,,3200,270,60,60,,,,,,,,,,,,,,3
29,,3200,270,60,60,,,5,,,2,4,4,,,,,4,3
