Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,300,30,10,10,,,,,,,,,,,,,,
1,,300,30,10,10,,,,,,,,,,,,,,
2,,300,30,10,10,,,,,,,,,,,,,,
3,,300,30,10,10,,,,,,,,,,,,,,
4,,300,30,10,10,3,3,,,,,3,3,,,,,,
5,,600,50,15,15,,,,,,,,,,,,,,
6,,600,50,15,15,,,,,,,,,,,,1,,
7,,600,50,15,15,,,,,,,,,,,,,,
8,,600,50,15,15,,,,,,,,,,,,,,
9,,600,50,15,15,3,3,,,,,3,3,,,,1,,
10,,1200,100,25,25,,,,,,,,,,,,,,
11,,1200,100,25,25,,,,,,,,,,,,1,,
12,,1200,100,25,25,,,,,,,,,,,,,,
13,,1200,100,25,25,,,,,,,,,,,,,,
14,,1200,100,25,25,3,3,,,,,4,4,,,,1,,
15,,2100,190,40,40,,,,,,,,,,,,,,
16,,2100,190,40,40,,,,,,,,,,,,1,,
17,,2100,190,40,40,,,,,,,,,,,,,,
18,,2100,190,40,40,,,,,,,,,,,,,,
19,,2100,190,40,40,3,3,,,,,3,3,,,,1,,
20,,3000,330,60,60,,,,,,,,,,,,,,
21,,3000,330,60,60,,,,,,,,,,,,1,,
22,,3000,330,60,60,,,,,,,,,,,,,,
23,,3000,330,60,60,,,,,,,,,,,,,,
24,,3000,330,60,60,3,3,,,,,3,3,,,,1,,
25,,4800,560,85,85,,,,,,,,,,,,,,
26,,4800,560,85,85,,,,,,,,,,,,1,,
27,,4800,560,85,85,,,,,,,,,,,,,,
28,,4800,560,85,85,,,,,,,,,,,,,,
29,,4800,560,85,85,5,5,,,,,4,4,,,,1,,
