Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,,,,,1,1,,2,1,1,,,,,,,,
1,,,,,,1,1,,2,1,1,,,,,2,,,
2,,,,,,1,1,,2,1,1,,,,,,,,
3,,,,,,1,1,,2,1,1,,,,,,,,
4,,,,,,1,1,,2,1,1,,,3,3,3,5,,
5,,,,,,1,1,,2,1,1,,,,,,,,
6,,,,,,1,1,,2,1,1,,,,,2,,,
7,,,,,,1,1,,2,1,1,,,,,,,,
8,,,,,,1,1,,2,1,1,,,,,,,,
9,,,,,,1,1,,2,1,1,,,3,3,3,5,,
10,,,,,,1,1,,2,1,1,,,,,,,,
11,,,,,,1,1,,2,1,1,,,,,3,,,
12,,,,,,1,1,,2,1,1,,,,,,,,
13,,,,,,1,1,,2,1,1,,,,,,,,
14,,,,,,1,1,,2,1,1,,,4,4,4,5,,
15,,,,,,1,1,,4,2,2,,,,,,,,
16,,,,,,1,1,,4,2,2,,,,,3,,,
17,,,,,,1,1,,4,2,2,,,,,,,,
18,,,,,,1,1,,4,2,2,,,,,,,,
19,,,,,,1,1,,4,2,2,,,3,3,4,5,,
20,,,,,,1,1,,4,2,2,,,,,,,,
21,,,,,,1,1,,4,2,2,,,,,4,,,
22,,,,,,1,1,,4,2,2,,,,,,,,
23,,,,,,1,1,,4,2,2,,,,,,,,
24,,,,,,1,1,,4,2,2,,,3,3,5,5,,
25,,,,,,1,1,,6,3,3,,,,,,,,
26,,,,,,1,1,,6,3,3,,,,,4,,,
27,,,,,,1,1,,6,3,3,,,,,,,,
28,,,,,,1,1,,6,3,3,,,,,,,,
29,,,,,,1,1,,6,3,3,,,4,4,5,5,,
