Level,AtkSpdPercent,MaxHp,Def,PAtk,MAtk,PDmgPercent,MDmgPercent,DmgPercent,CriRateStar,DefPntrStar,SkillDmgStar,MaxHpPercent,DefPercent,PAtkPercent,MAtkPercent,CriDmgPercent,SkillGainPercent,ItemDropPercent,GoldDropPercent
0,,100,4,30,30,,,,2,1,1,,,,,,,,
1,,100,4,30,30,,,,2,1,1,,,,,2,,,
2,,100,4,30,30,,,,2,1,1,,,,,,,,
3,,100,4,30,30,,,,2,1,1,,,,,,,,
4,,100,4,30,30,,,,2,1,1,,,3,3,3,,,
5,,200,12,70,70,,,,2,1,1,,,,,,,,
6,,200,12,70,70,,,,2,1,1,,,,,2,,,
7,,200,12,70,70,,,,2,1,1,,,,,,,,
8,,200,12,70,70,,,,2,1,1,,,,,,,,
9,,200,12,70,70,,,,2,1,1,,,3,3,3,,,
10,,400,28,150,150,,,,3,1,1,,,,,,,,
11,,400,28,150,150,,,,3,1,1,,,,,3,,,
12,,400,28,150,150,,,,3,1,1,,,,,,,,
13,,400,28,150,150,,,,3,1,1,,,,,,,,
14,5,400,28,150,150,,,,3,1,1,,,4,4,4,,,
15,,700,52,270,270,,,,4,2,2,,,,,,,,
16,,700,52,270,270,,,,4,2,2,,,,,3,,,
17,,700,52,270,270,,,,4,2,2,,,,,,,,
18,,700,52,270,270,,,,4,2,2,,,,,,,,
19,5,700,52,270,270,,,,4,2,2,,,3,3,4,,,
20,,1000,84,430,430,,,,5,2,2,,,,,,,,
21,,1000,84,430,430,,,,5,2,2,,,,,4,,,
22,,1000,84,430,430,,,,5,2,2,,,,,,,,
23,,1000,84,430,430,,,,5,2,2,,,,,,,,
24,5,1000,84,430,430,,,,5,2,2,,,3,3,5,,,
25,,1600,124,630,630,,,,6,3,3,,,,,,,,
26,,1600,124,630,630,,,,6,3,3,,,,,4,,,
27,,1600,124,630,630,,,,6,3,3,,,,,,,,
28,,1600,124,630,630,,,,6,3,3,,,,,,,,
29,5,1600,124,630,630,,,,6,3,3,,,4,4,5,,,
