Level,SuccessRate,Cost,CumulativeCost
0,0.96,1000,1042
1,0.92,2000,3216
2,0.88,4000,7761
3,0.84,8000,17285
4,0.80,16000,37285
5,0.76,32000,79390
6,0.72,48000,146057
7,0.68,72000,251939
8,0.64,108000,420689
9,0.60,162000,690689
10,0.55,486000,1574325
11,0.50,583200,2740725
12,0.45,699840,4295925
13,0.40,839808,6395445
14,0.35,1007770,9274787
15,0.30,3023309,19352483
16,0.30,3325640,30437949
17,0.30,3658204,42631961
18,0.30,4024024,56045374
19,0.30,4426426,70800129
20,0.27,13279279,119982645
21,0.24,14607207,180846008
22,0.21,16067928,257359950
23,0.18,17674721,355552843
24,0.15,19442193,485167461
25,0.15,38884385,744396698
26,0.15,42772824,1029548858
27,0.15,47050106,1343216234
28,0.15,51755117,1688250348
29,0.15,56930629,2067787873
